Parametros,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Total_Nacimientos,39646,41100,38806,35657,31835,28812,27255,25670,23920,22411,20970,20260,18719,18159,17119,16456,16292,16341,15878,15267,15345,15985,16326,16113,16791,17316,17649,18134,19270,19574,19698,20026,20594,21310,20905,21170,21155,20533,19116,19379,18849,18247,17077,16100,15449,14743,14276,13663,13462,12950,
Nac_Esp_Todaslasedades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17716,18179,18121,17510,16259,16515,15834,15156,14102,12920,12127,11452,11215,10510,10061,9511,
Nac_Esp_Menosde15anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,4,2,1,2,,1,1,2,2,2,3,1,,
Nac_Esp_15a19anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,146,128,134,133,170,138,140,124,89,107,99,99,100,102,63,
Nac_Esp_20a24anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428,426,418,399,344,437,367,411,369,359,376,339,305,335,324,333,
Nac_Esp_25a29anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2362,2219,2108,1938,1741,1832,1685,1605,1498,1264,1157,1157,1136,965,950,905,
Nac_Esp_30a34_anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8279,8190,7973,7308,6578,6524,6100,5699,5221,4755,4490,4184,4045,3691,3632,3398,
Nac_Esp_35a39anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5615,6044,6363,6448,6142,6168,6077,5750,5323,4920,4591,4284,4247,4014,3784,3604,
Nac_Esp_40a44anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858,1055,1074,1217,1251,1288,1344,1442,1454,1413,1299,1281,1260,1240,1128,1077,
Nac_Esp_45a49anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,93,48,57,65,90,119,103,107,114,100,98,118,150,133,120,
Nac_Esp_50ymasanios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,8,5,3,5,2,6,5,5,5,8,3,12,7,11,
Nac_Ext_Todaslasedades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3189,2991,3034,3023,2857,2864,3015,3091,2975,3180,3322,3291,3061,3153,3401,3439,
Nac_Ext_Menosde15_anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,2,1,1,,2,2,2,,,3,,,1,
Nac_Ext_15a19anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,117,112,112,103,70,77,75,77,83,88,66,54,61,65,74,
Nac_Ext_20a24anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689,609,545,497,442,451,407,397,394,447,528,484,399,451,458,467,
Nac_Ext_25a29anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,959,975,1004,956,848,814,829,818,811,839,854,888,764,794,914,882,
Nac_Ext_30a34_anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880,808,841,903,864,894,1008,1004,939,958,978,973,978,950,1008,1052,
Nac_Ext_35a39anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435,380,423,446,468,516,560,610,589,681,678,670,676,688,706,717,
Nac_Ext_40a44anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,97,106,101,125,111,128,176,154,161,184,198,174,194,226,232,
Nac_Ext_45a49anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,3,6,6,7,6,9,9,8,12,12,11,14,24,13,
Nac_Ext_50ymasanios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,1,,1,
Nac_Tot_Todaslasedades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20905,21170,21155,20533,19116,19379,18849,18247,17077,16100,15449,14743,14276,13663,13462,12950,
Nac_Tot_Menosde15_anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,6,3,2,2,2,3,3,2,2,5,3,1,1,
Nac_Tot_15a19anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,263,240,246,236,240,215,215,201,172,195,165,153,161,167,137,
Nac_Tot_20a24anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1117,1035,963,896,786,888,774,808,763,806,904,823,704,786,782,800,
Nac_Tot_25a29anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3321,3194,3112,2894,2589,2646,2514,2423,2309,2103,2011,2045,1900,1759,1864,1787,
Nac_Tot_30a34_anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9159,8998,8814,8211,7442,7418,7108,6703,6160,5713,5468,5157,5023,4641,4640,4450,
Nac_Tot_35a39anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6050,6424,6786,6894,6610,6684,6637,6360,5912,5601,5269,4954,4923,4702,4490,4321,
